MAVLink 2 参数协议读写记录
开始时间: 2026-07-07 15:57:05
监听端口: UDP 14551
========================================================================
[输出] 日志文件: my_param_log.txt
[连接] 正在监听: udpin:0.0.0.0:14551
[连接] 等待 HEARTBEAT（请确认 SITL 已启动且 --out 包含 14551）...
[连接] 已收到心跳 | target_system=1, target_component=0
[参数] 发送 param_request_list() 请求全部参数...
[参数] 飞控报告参数总数: 1339
[参数] 实际收到 1339 个参数
[参数] 全部参数列表（按名称排序）：
------------------------------------------------------------------------
    序号  参数名                          值    类型
  1308  TEMP_LOG                     0     2
  1309  TERRAIN_ENABLE               1     2
  1310  TERRAIN_MARGIN            0.05     9
  1311  TERRAIN_OFS_MAX             30     9
  1312  TERRAIN_OPTIONS              0     4
  1313  TERRAIN_SPACING            100     4
  1314  THROW_MOT_START              0     2
  1315  THROW_NEXTMODE              18     2
  1316  THROW_TYPE                   0     2
  1317  THR_DZ                     100     4
  1318  TKOFF_RPM_MIN                0     4
  1319  TKOFF_SLEW_TIME              2     9
  1320  TUNE                         0     2
  1321  TUNE_MAX                     0     9
  1322  TUNE_MIN                     0     9
  1323  VISO_TYPE                    0     2
  1324  VTX_ENABLE                   0     2
  1325  WINCH_TYPE                   0     2
  1326  WPNAV_ACCEL                250     9
  1327  WPNAV_ACCEL_C                0     9
  1328  WPNAV_ACCEL_Z              100     9
  1329  WPNAV_JERK                   1     9
  1330  WPNAV_RADIUS               200     9
  1331  WPNAV_RFND_USE               1     2
  1332  WPNAV_SPEED               1000     9
  1333  WPNAV_SPEED_DN             150     9
  1334  WPNAV_SPEED_UP             250     9
  1335  WPNAV_TER_MARGIN            10     9
  1336  WP_NAVALT_MIN                0     9
  1337  WP_YAW_BEHAVIOR              2     2
  1338  WVANE_ENABLE                 0     2
  1339  ZIGZ_AUTO_ENABLE             0     2
------------------------------------------------------------------------
[演示] 开始参数读写验证
------------------------------------------------------------------------
[演示] 参数 SR1_EXT_STAT: 当前值 = 0
[读取] param_request_read -> SR1_EXT_STAT
[读取] SR1_EXT_STAT = 0 (type=4, index=65535)
[写入] param_set -> SR1_EXT_STAT = 2 (type=4)
[确认] SR1_EXT_STAT = 2 (type=4, index=65535)
[读取] param_request_read -> SR1_EXT_STAT
[读取] SR1_EXT_STAT = 2 (type=4, index=65535)
[验证] SR1_EXT_STAT 读回成功，值与期望一致: 2
[演示] 参数 SR1_EXTRA1: 当前值 = 0
[读取] param_request_read -> SR1_EXTRA1
[读取] SR1_EXTRA1 = 0 (type=4, index=65535)
[写入] param_set -> SR1_EXTRA1 = 4 (type=4)
[确认] SR1_EXTRA1 = 4 (type=4, index=65535)
[读取] param_request_read -> SR1_EXTRA1
[读取] SR1_EXTRA1 = 4 (type=4, index=65535)
[验证] SR1_EXTRA1 读回成功，值与期望一致: 4
[演示] 恢复参数原值...
[写入] param_set -> SR1_EXT_STAT = 0 (type=4)
[确认] SR1_EXT_STAT = 0 (type=4, index=65535)
[读取] param_request_read -> SR1_EXT_STAT
[读取] SR1_EXT_STAT = 0 (type=4, index=65535)
[验证] SR1_EXT_STAT 读回成功，值与期望一致: 0
[写入] param_set -> SR1_EXTRA1 = 0 (type=4)
[确认] SR1_EXTRA1 = 0 (type=4, index=65535)
[读取] param_request_read -> SR1_EXTRA1
[读取] SR1_EXTRA1 = 0 (type=4, index=65535)
[验证] SR1_EXTRA1 读回成功，值与期望一致: 0
[演示] 参数已恢复为修改前的值
[输出] 记录已保存至: my_param_log.txt
========================================================================
结束时间: 2026-07-07 15:57:39
